file,angle
t149/018457280.sdf,115.72120480251985
t149/018457280_dft.sdf,100.16213248214387
t149/026188732.sdf,115.4535967528323
t149/026188732.sdf,244.42777086286029
t149/026188732_dft.sdf,113.83975586106536
t149/026188732_dft.sdf,246.11936469445078
t149/043547407.sdf,70.36808695758617
t149/043547407_dft.sdf,84.76549573066353
t149/053403366.sdf,309.73637385382983
t149/053403366.sdf,90.09780383659759
t149/053403366_dft.sdf,302.768088143347
t149/053403366_dft.sdf,88.99204521446086
t149/053827465.sdf,310.4120190488238
t149/053827465.sdf,90.49256672327238
t149/053827465_dft.sdf,303.2506615748319
t149/053827465_dft.sdf,88.28934260056444
