// cosine fits
[O:1]=[C:2]([N])!@;-[O:3]~[C:4] -2.066  0.248  2.083 -0.738 -0.794  0.518 -1.383  0.307 -0.055  3.701  0.219  1.102
[cH0:1][c:2]([cH1])!@;-[O:3][C:4]  1.644e-02  2.084e+00 -1.493e-02  3.168e+00 -2.021e-02 -1.084e+00  3.085e+00 -8.524e-02 -1.389e-02  1.128e+00 -1.907e-03 -1.665e+00
[cH1:1][c:2]([cH1])!@;-[O:3][C:4]  1.255  0.297 -1.724  0.548  0.245  1.208 -0.381  0.46   1.503  0.076 -0.177  1.907
[a:1][c:2]!@;-[O:3][CX3H0:4] -0.04   2.558  1.809 -1.001  0.121  0.829 -0.044  1.66  -3.007  0.028 -0.095  0.825
[cH0:1][c:2]([cH0])!@;-[O:3][!#1:4]  0.01   2.732  0.446 -0.666 -0.032 -1.381  0.955  0.655 -0.017  1.293 -0.088  1.112
[aH0:1][c:2]!@;-[OX2:3][!#1:4]  0.019  1.896 -0.013  2.385  0.113  0.213  0.165 -1.415 -0.018  1.09   0.012 -0.63 
[cH1,nX3H1:1][c:2]([cH0])!@;-[O:3][CX4H0:4]  0.087  1.972 -0.288  1.73   0.098  1.697  0.287 -1.213 -0.356 -0.151  3.363 -0.068
[!#1:1][CX4H0:2]!@;-[OX2:3][!#1:4] -0.556  1.778  0.957 -0.448  0.088  1.205 -0.698  0.636  0.282 -1.486  0.135  2.623
[H:1][CX4H1:2]!@;-[OX2:3][!#1:4]  0.036  3.005 -0.136 -0.38   1.272  1.037  1.887  0.015  0.247 -0.502 -0.317  1.237
[C:1][CX4H2:2]!@;-[OX2:3][c:4] -1.097  0.977 -1.125  0.811  0.457  2.417  0.543  0.154  1.598  0.165  2.507 -0.054
[c:1][CX4H2:2]!@;-[OX2:3][C:4] 1.789 0.965 1.723 1.333 2.564 1.086 1.602 0.387 1.    0.63  0.55  1.237
[C:1][CX4H2:2]!@;-[OX2:3][C:4] 2.057 0.862 1.787 1.467 2.304 0.904 1.076 0.423 0.755 0.629 0.396 1.196
[c:1][CX4H2:2]!@;-[OX2:3][c:4]  1.48   1.03   0.98   1.416  1.394  0.764 -1.092  0.511 -0.183  0.684 -0.489  0.354
[!#1:1][CX4H2:2]!@;-[OX2:3][c:4] 1.155 1.074 1.551 1.144 2.199 1.319 1.176 0.969 0.585 0.67  0.104 0.778
[!#1:1][CX4H2:2]!@;-[OX2:3][C:4] 1.68  1.002 1.913 1.203 2.492 1.13  0.863 0.767 1.011 0.643 0.757 0.897
[c:1][CX4H2:2]!@;-[OX2:3][!#1:4]  1.223  1.117  0.763  1.779  1.125  0.964 -1.123  0.473  0.726 -0.17  -0.347  0.541
[C:1][CX4H2:2]!@;-[OX2:3][!#1:4]  0.436  0.808  1.054  1.328  1.847  0.667 -0.641  0.345 -0.194  0.655 -0.092  0.979
[!#1:1][CX4H2:2]!@;-[OX2:3][!#1:4]  0.496  1.96   0.585  1.926  0.606  1.697  0.615 -0.799  0.127 -0.654 -0.423  0.392
[!#1:1][CX4:2]!@;-[OX2:3][!#1:4]  0.914  0.953  0.279  3.99   2.277  0.458  0.377 -1.267  0.144 -0.603 -0.178  0.971
O=[CX3:1][NX3H0:2](C)!@;-[CX4H2:3][C:4]  0.845  0.929  0.376  1.996  0.634  1.578  1.262 -0.155  0.438 -0.427 -0.508  0.222
O=[CX3:1][NX3H1:2]!@;-[CX4H2:3][C:4]  0.319 -1.087  0.844  2.772 -0.539  0.462 -0.113  1.25   0.098  1.641  0.872 -0.038
O=[S:1](=O)[NX3H0:2]!@;-[CX4H2:3][!#1:4]  1.757  0.334  0.557  2.653 -0.781  0.275 -0.292  0.405  0.42   0.454 -0.558  0.282
O=[S:1](=O)[NX3H1:2]!@;-[CX4H2:3][!#1:4] -1.716 -0.363  0.966  2.214 -1.516 -0.036  0.755  1.245 -1.19   0.35   0.749  1.133
O=[S:1](=O)[NX3H0:2]!@;-[CX4H1:3][H:4] 3.548 0.611 1.616 1.719 2.307 0.836 0.887 1.02  1.195 0.245 0.526 0.694
