// cosine**2 fits
[O:1]=[C:2]([N])!@;-[O:3]~[C:4] -3.491  0.883 -0.872  0.983  0.18   2.639  0.032  1.949  3.136 -0.157 -0.335  0.942
[cH0:1][c:2]([cH0])!@;-[O:3][C:4] -1.664  0.469  0.721  0.775 -0.63   0.768  1.129  0.54   1.119 -0.183 -0.301  1.711
[cH0:1][c:2]([cH1])!@;-[O:3][C:4] -0.078  1.185  0.691 -0.758  0.036  0.222  0.72   0.178 -0.096  1.293 -0.124  1.844
[cH1:1][c:2]([cH1])!@;-[O:3][C:4] -1.312  1.431 -0.208  1.633 -0.682  0.972  2.899 -0.132  0.041  1.752 -0.361  0.536
[a:1][c:2]!@;-[O:3][CX3H0:4] -2.632  1.373 -0.212  0.652 -0.072  2.061 -1.233  1.034 -0.005  1.529 -0.326  1.007
[cH0:1][c:2]([cH0])!@;-[O:3][!#1:4] -0.487  1.209  0.644  1.949 -0.501  0.378  0.518 -0.689  1.144 -0.328 -0.196  1.501
[aH0:1][c:2]!@;-[OX2:3][!#1:4] -0.075  0.815  1.603 -0.291 -0.023  0.576  0.692  0.152 -0.113  1.029 -0.135  1.645
[cH1,nX3H1:1][c:2]([cH0])!@;-[O:3][CX4H0:4] -1.562  0.633 -0.98   0.702 -0.438  1.025  0.426 -0.696 -0.113  1.783 -0.122  1.953
[!#1:1][CX4H0:2]!@;-[OX2:3][!#1:4] -1.011  0.857 -1.529  0.586  0.371  1.89  -0.46   1.525  0.369 -0.383 -0.234  0.886
[H:1][CX4H1:2]!@;-[OX2:3][!#1:4]  0.14   0.848  0.111  0.654 -0.626  1.229  0.271 -0.286 -0.027  1.214 -0.113  1.166
[C:1][CX4H2:2]!@;-[OX2:3][c:4] -1.568  1.161  0.112  1.529 -0.135  1.973 -0.55   0.26  -0.205  0.637 -3.113 -0.01 
[c:1][CX4H2:2]!@;-[OX2:3][C:4]  5.927  0.784  2.789  0.462  2.876  0.49  -1.684 -0.552  0.821  0.184  1.104  0.044
[C:1][CX4H2:2]!@;-[OX2:3][C:4] 10.028  0.527  4.2    0.226  3.897  0.253  2.443  0.444  5.517  0.136  0.068 -0.597
[c:1][CX4H2:2]!@;-[OX2:3][c:4]  3.184  0.879 -2.272  0.48   0.746 -0.43   0.623  0.339 -0.079  1.491  0.115  1.197
[!#1:1][CX4H2:2]!@;-[OX2:3][c:4]   3.149   1.143   1.174   1.985   0.113   1.887  -1.136  -0.572   0.396  -1.376 -10.436   0.054
[!#1:1][CX4H2:2]!@;-[OX2:3][C:4]  7.143  0.652  4.407  0.312  2.355  0.598 -2.475 -0.386  0.682  0.227 -0.683 -0.033
[c:1][CX4H2:2]!@;-[OX2:3][!#1:4]  3.479  0.788 -3.739  0.277  0.497 -0.703 -0.92  -0.198 -0.055  2.429  0.033  1.393
[C:1][CX4H2:2]!@;-[OX2:3][!#1:4]  2.698  1.043 -0.666  0.641 -0.771  0.215 -0.195 -0.818  0.131  1.369 -0.145  1.135
