// gaussian fits
[O:1]=[C:2]([N])!@;-[O:3]~[C:4] 8.499e-02 1.606e+00 3.373e+00 1.360e-03 1.800e+02 8.651e+00 6.195e-02 3.584e+02 3.423e+00
[nX2H0:1][c:2]([cH0])!@;-[O:3][CX4H0:4] 4.554e-02 1.398e+00 4.189e+00 2.835e-02 1.801e+02 6.142e+00 4.228e-02 3.585e+02 3.818e+00
[cH0:1][c:2]([cH0])!@;-[O:3][CX4H0:4] 1.394e-01 1.627e+00 3.125e+00 7.028e-02 3.584e+02 3.124e+00
[cH0:1][c:2]([nX2])!@;-[O:3][C:4] 1.470e-03 1.655e+02 2.767e+02 2.268e-02 9.020e+01 6.125e+00 5.435e-03 1.800e+02 4.844e+00 2.328e-02 2.698e+02 5.991e+00
[nX2:1][c:2]([nX2])!@;-[O:3][C:4] 1.041e-01 1.800e+02 5.271e+00
[nX2:1][c:2]([nX3])!@;-[O:3][C:4]  6.982e-02  1.625e+00  3.166e+00  6.647e-02  1.800e+02 -5.059e+00  2.273e-02  3.678e+02  1.237e+01
[cH1:1][c:2]([nX3])!@;-[O:3][C:4] 1.195e-01 1.625e+00 3.158e+00 5.395e-03 1.800e+02 5.384e+00 6.387e-02 3.584e+02 3.209e+00
[cH1:1][c:2]([nX2])!@;-[O:3][C:4]  3.659e-02  3.141e+00  1.397e+00  2.036e+00 -3.087e+01  1.655e+01  1.596e-03  1.530e+02  9.398e+00  1.419e-02  1.800e+02  5.289e+00  2.279e-03  2.099e+02  6.632e+00  4.692e-03 -1.273e+03  1.022e+03  7.795e-02  3.795e+02  1.913e+01
[cH0:1]([CX3])[c:2]([cH1])!@;-[O:3][C:4] 1.044e-01 1.800e+02 5.232e+00
[cH1:1][c:2](cO)!@;-[O:3][C:4]  2.365e-03 -1.468e+01  2.778e+01  1.342e-03  5.162e+01  8.741e+00  6.479e-02  1.801e+02 -6.419e+00  1.468e-03  3.092e+02  7.751e+00  1.288e-03  3.592e+02  1.967e+01
O[c:1][c:2](cO)!@;-[O:3][C:4] 8.748e-02 1.602e+00 3.406e+00 1.556e-03 1.804e+02 5.250e+01 5.322e-02 3.584e+02 3.689e+00
[cH0:1][c:2]([cH0])!@;-[O:3][C:4] 4.681e-03 1.295e+00 4.278e+00 4.493e-03 2.715e+01 1.734e+01 5.285e-03 6.606e+01 1.064e+01 5.998e-03 1.186e+02 8.310e+00 3.803e-03 1.527e+02 1.761e+01 4.447e-03 1.802e+02 6.597e+00 3.845e-03 2.077e+02 1.698e+01 5.340e-03 2.426e+02 1.015e+01 5.147e-03
 2.964e+02 1.140e+01 4.651e-03 3.323e+02 1.402e+01 8.989e-03 3.753e+02 1.792e+01
[cH0:1][c:2]([cH1])!@;-[O:3][C:4]  6.332e-03  1.595e+00  3.379e+00  3.022e-03  1.728e+02  2.684e+02  1.250e-01  4.479e+02  4.429e+01  3.467e-03  4.046e+02 -7.437e+00
[cH1:1][c:2]([cH1])!@;-[O:3][C:4]  1.316e+26 -1.454e+03  1.792e+02  9.816e-03  1.814e+02  1.789e+01  5.969e-02  1.800e+02 -5.298e+00  9.305e+25  5.704e+03  6.557e+02
[a:1][c:2]!@;-[O:3][CX3H0:4] 4.749e-02 1.506e+00 3.863e+00 3.425e-02 1.801e+02 6.046e+00 6.294e-02 3.723e+02 1.436e+01
[cH0:1][c:2]([cH0])!@;-[O:3][!#1:4] 8.670e-03 1.612e+00 3.285e+00 6.836e-03 4.274e+01 1.709e+01 6.510e-03 1.399e+02 1.809e+01 6.414e-03 1.801e+02 5.545e+00 6.631e-03 2.210e+02 1.762e+01 6.860e-03 3.181e+02 1.691e+01 3.798e-03 3.585e+02 3.870e+00
[aH0:1][c:2]!@;-[OX2:3][!#1:4]  6.021e-03  1.604e+00  3.303e+00  3.016e-03  1.746e+02  2.785e+02  8.231e+02  5.829e+02  6.232e+01  3.460e-03  4.119e+02 -5.953e+00
[cH1,nX3H1:1][c:2]([cH0])!@;-[O:3][CX4H0:4]  1.643e-02  1.604e+00  3.366e+00  1.480e-03  1.736e+02  1.642e+02  4.589e-02  1.801e+02 -5.930e+00  4.075e+08  6.576e+02  6.007e+01
[!#1:1][CX4H0:2]!@;-[OX2:3][!#1:4] 1.667e-02 0.000e+00 1.500e+01 1.667e-02 1.800e+02 1.500e+01 1.667e-02 3.600e+02 1.500e+01
[H:1][CX4H1:2]!@;-[OX2:3][!#1:4] 2.384e-02 6.005e+01 6.775e+00 1.924e-02 1.801e+02 7.389e+00 2.445e-02 3.002e+02 6.580e+00
